"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"852","c","Shelving location","Shelving location","1","0","0","holdings.location","8","LOC","","","","4","HLD","","","","9999"
"852","d","Former shelving location","Former shelving location","1","0","0","","8","","","","","1","HLD","","","","9999"
"852","e","Address","Address","1","0","0","","8","","","","","4","HLD","","","","9999"
"852","f","Coded location qualifier","Coded location qualifier","1","0","0","","8","","","","","4","HLD","","","","9999"
"852","g","Non-coded location qualifier","Non-coded location qualifier","1","0","0","holdings.ccode","8","CCODE","","","","4","HLD","","","","9999"
"852","h","Classification part","Classification part","0","0","0","holdings.callnumber","8","","","","","4","HLD","","","","9999"
"852","i","Item part","Item part","1","0","0","","8","","","","","4","HLD","","","","9999"
"852","j","Shelving control number","Shelving control number","0","0","0","","8","","","","","4","HLD","","","","9999"
"852","k","Call number prefix","Call number prefix","1","0","0","holdings.callnumber","8","","","","","4","HLD","","","","9999"
"852","l","Shelving form of title","Shelving form of title","0","0","0","holdings.callnumber","8","","","","","4","HLD","","","","9999"
"852","m","Call number suffix","Call number suffix","1","0","0","holdings.callnumber","8","","","","","4","HLD","","","","9999"
"852","n","Country code","Country code","0","0","0","","8","","","","","4","HLD","","","","9999"
"852","p","Piece designation","Piece designation","0","0","0","","8","","","","","4","HLD","","","","9999"
"852","q","Piece physical condition","Piece physical condition","0","0","0","","8","","","","","4","HLD","","","","9999"
"852","s","Copyright article-fee code","Copyright article-fee code","1","0","0","","8","","","","","4","HLD","","","","9999"
"852","t","Copy number","Copy number","0","0","0","","8","","","","","4","HLD","","","","9999"
"852","u","Uniform Resource Identifier","Uniform Resource Identifier","1","0","0","","8","","","","1","4","HLD","","","","9999"
"852","x","Nonpublic note","Nonpublic note","1","0","0","","8","","","","","4","HLD","","","","9999"
"852","z","Public note","Public note","1","0","0","holdings.public_note","8","","","","","4","HLD","","","","9999"
"853","3","Materials specified","Materials specified","0","0","0","","8","","","","","5","HLD","","","","9999"
"853","6","Linkage","Linkage","0","0","0","","8","","","","","5","HLD","","","","9999"
"853","8","Field link and sequence number","Field link and sequence number","1","0","0","","8","","","","","5","HLD","","","","9999"
"853","a","First level of enumeration","First level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","b","Second level of enumeration","Second level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","c","Third level of enumeration","Third level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","d","Fourth level of enumeration","Fourth level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","e","Fifth level of enumeration","Fifth level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","f","Sixth level of enumeration","Sixth level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","g","Alternative numbering scheme, first level of enumeration","Alternative numbering scheme, first level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","h","Alternative numbering scheme, second level of enumeration","Alternative numbering scheme, second level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","i","First level of chronology","First level of chronology","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","j","Second level of chronology","Second level of chronology","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","k","Third level of chronology","Third level of chronology","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","l","Fourth level of chronology","Fourth level of chronology","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","m","Alternative numbering scheme, chronology","Alternative numbering scheme, chronology","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","n","Pattern note","Pattern note","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","p","Number of pieces per issuance","Number of pieces per issuance","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","t","Copy","Copy","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","u","Bibliographic units per next higher level","Bibliographic units per next higher level","1","0","0","","8","","","","","4","HLD","","","","9999"
"853","v","Numbering continuity","Numbering continuity","1","0","0","","8","","","","","4","HLD","","","","9999"
"853","w","Frequency","Frequency","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","x","Calendar change","Calendar change","0","0","0","","8","","","","","4","HLD","","","","9999"
"853","y","Regularity pattern","Regularity pattern","1","0","0","","8","","","","","4","HLD","","","","9999"
"853","z","Numbering scheme","Numbering scheme","1","0","0","","8","","","","","4","HLD","","","","9999"
"854","3","Materials specified","Materials specified","0","0","0","","8","","","","","5","HLD","","","","9999"
"854","6","Linkage","Linkage","0","0","0","","8","","","","","5","HLD","","","","9999"
"854","8","Field link and sequence number","Field link and sequence number","1","0","0","","8","","","","","5","HLD","","","","9999"
"854","a","First level of enumeration","First level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","b","Second level of enumeration","Second level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","c","Third level of enumeration","Third level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","d","Fourth level of enumeration","Fourth level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","e","Fifth level of enumeration","Fifth level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","f","Sixth level of enumeration","Sixth level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","g","Alternative numbering scheme, first level of enumeration","Alternative numbering scheme, first level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","h","Alternative numbering scheme, second level of enumeration","Alternative numbering scheme, second level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","i","First level of chronology","First level of chronology","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","j","Second level of chronology","Second level of chronology","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","k","Third level of chronology","Third level of chronology","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","l","Fourth level of chronology","Fourth level of chronology","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","m","Alternative numbering scheme, chronology","Alternative numbering scheme, chronology","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","n","Pattern note","Pattern note","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","p","Number of pieces per issuance","Number of pieces per issuance","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","t","Copy","Copy","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","u","Bibliographic units per next higher level","Bibliographic units per next higher level","1","0","0","","8","","","","","4","HLD","","","","9999"
"854","v","Numbering continuity","Numbering continuity","1","0","0","","8","","","","","4","HLD","","","","9999"
"854","w","Frequency","Frequency","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","x","Calendar change","Calendar change","0","0","0","","8","","","","","4","HLD","","","","9999"
"854","y","Regularity pattern","Regularity pattern","1","0","0","","8","","","","","4","HLD","","","","9999"
"854","z","Numbering scheme","Numbering scheme","1","0","0","","8","","","","","4","HLD","","","","9999"
"855","3","Materials specified","Materials specified","0","0","0","","8","","","","","5","HLD","","","","9999"
"855","6","Linkage","Linkage","0","0","0","","8","","","","","5","HLD","","","","9999"
"855","8","Field link and sequence number","Field link and sequence number","1","0","0","","8","","","","","5","HLD","","","","9999"
"855","a","First level of enumeration","First level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","b","Second level of enumeration","Second level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","c","Third level of enumeration","Third level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","d","Fourth level of enumeration","Fourth level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","e","Fifth level of enumeration","Fifth level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","f","Sixth level of enumeration","Sixth level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","g","Alternative numbering scheme, first level of enumeration","Alternative numbering scheme, first level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","h","Alternative numbering scheme, second level of enumeration","Alternative numbering scheme, second level of enumeration","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","i","First level of chronology","First level of chronology","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","j","Second level of chronology","Second level of chronology","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","k","Third level of chronology","Third level of chronology","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","l","Fourth level of chronology","Fourth level of chronology","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","m","Alternative numbering scheme, chronology","Alternative numbering scheme, chronology","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","n","Pattern note","Pattern note","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","p","Number of pieces per issuance","Number of pieces per issuance","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","t","Copy","Copy","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","u","Bibliographic units per next higher level","Bibliographic units per next higher level","1","0","0","","8","","","","","4","HLD","","","","9999"
"855","v","Numbering continuity","Numbering continuity","1","0","0","","8","","","","","4","HLD","","","","9999"
"855","w","Frequency","Frequency","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","x","Calendar change","Calendar change","0","0","0","","8","","","","","4","HLD","","","","9999"
"855","y","Regularity pattern","Regularity pattern","1","0","0","","8","","","","","4","HLD","","","","9999"
"855","z","Numbering scheme","Numbering scheme","1","0","0","","8","","","","","4","HLD","","","","9999"
"856","2","Access method","Access method","0","0","0","","8","","","","0","5","HLD","","","","9999"
"856","3","Materials specified","Materials specified","0","0","0","","8","","","","0","5","HLD","","","","9999"
"856","6","Linkage","Linkage","0","0","0","","8","","","","0","5","HLD","","","","9999"
"856","7","Access status","Access status","0","0","0","","8","","","","0","5","HLD","","","","9999"
"856","8","Field link and sequence number","Field link and sequence number","1","0","0","","8","","","","0","5","HLD","","","","9999"
"856","a","Host name","Host name","1","0","0","","8","","","","0","4","HLD","","","","9999"
"856","b","Access number","Access number","1","0","0","","8","","","","0","4","HLD","","","","9999"
"856","c","Compression information","Compression information","1","0","0","","8","","","","0","4","HLD","","","","9999"
"856","d","Path","Path","1","0","0","","8","","","","0","4","HLD","","","","9999"
"856","f","Electronic name","Electronic name","1","0","0","","8","","","","0","4","HLD","","","","9999"
"856","h","Processor of request","Processor of request","0","0","0","","8","","","","0","4","HLD","","","","9999"
"856","i","Instruction","Instruction","1","0","0","","8","","","","0","4","HLD","","","","9999"
"856","j","Bits per second","Bits per second","0","0","0","","8","","","","0","4","HLD","","","","9999"
"856","k","Password","Password","0","0","0","","8","","","","0","4","HLD","","","","9999"
"856","l","Logon","Logon","0","0","0","","8","","","","0","4","HLD","","","","9999"
"856","m","Contact for access assistance","Contact for access assistance","1","0","0","","8","","","","0","4","HLD","","","","9999"
"856","n","Name of location of host","Name of location of host","0","0","0","","8","","","","0","4","HLD","","","","9999"
"856","o","Operating system","Operating system","0","0","0","","8","","","","0","4","HLD","","","","9999"
"856","p","Port","Port","0","0","0","","8","","","","0","4","HLD","","","","9999"
"856","q","Electronic format type","Electronic format type","0","0","0","","8","","","","0","4","HLD","","","","9999"
"856","r","Settings","Settings","0","0","0","","8","","","","0","4","HLD","","","","9999"
"856","s","File size","File size","1","0","0","","8","","","","0","4","HLD","","","","9999"
"856","t","Terminal emulation","Terminal emulation","1","0","0","","8","","","","0","4","HLD","","","","9999"
"856","u","Uniform Resource Identifier","Uniform Resource Identifier","1","0","0","","8","","","","1","4","HLD","","","","9999"
"856","v","Hours access method available","Hours access method available","1","0","0","","8","","","","0","4","HLD","","","","9999"
"856","w","Record control number","Record control number","1","0","0","","8","","","","0","4","HLD","","","","9999"
"856","x","Nonpublic note","Nonpublic note","1","0","0","","8","","","","0","4","HLD","","","","9999"
"856","y","Link text","Link text","1","0","0","","8","","","","0","4","HLD","","","","9999"
"856","z","Public note","Public note","1","0","0","","8","","","","0","4","HLD","","","","9999"
"863","6","Linkage","Linkage","0","0","0","","8","","","","","5","HLD","","","","9999"
"863","8","Field link and sequence number","Field link and sequence number","0","0","0","","8","","","","","5","HLD","","","","9999"
"863","a","First level of enumeration","First level of enumeration","0","0","0","holdings.summary","8","","","","0","4","HLD","","","","9999"
"863","b","Second level of enumeration","Second level of enumeration","0","0","0","holdings.summary","8","","","","0","4","HLD","","","","9999"
"863","c","Third level of enumeration","Third level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"863","d","Fourth level of enumeration","Fourth level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"863","e","Fifth level of enumeration","Fifth level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"863","f","Sixth level of enumeration","Sixth level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"863","g","Alternative numbering scheme, first level of enumeration","Alternative numbering scheme, first level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"863","h","Alternative numbering scheme, second level of enumeration","Alternative numbering scheme, second level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"863","i","First level of chronology","First level of chronology","0","0","0","holdings.summary","8","","","","0","4","HLD","","","","9999"
"863","j","Second level of chronology","Second level of chronology","0","0","0","","8","","","","0","4","HLD","","","","9999"
"863","k","Third level of chronology","Third level of chronology","0","0","0","","8","","","","0","4","HLD","","","","9999"
"863","l","Fourth level of chronology","Fourth level of chronology","0","0","0","","8","","","","0","4","HLD","","","","9999"
"863","m","Alternative numbering scheme, chronology","Alternative numbering scheme, chronology","0","0","0","","8","","","","0","4","HLD","","","","9999"
"863","n","Converted Gregorian year","Converted Gregorian year","0","0","0","","8","","","","0","4","HLD","","","","9999"
"863","o","Type of unit","Type of unit","1","0","0","","8","","","","0","4","HLD","","","","9999"
"863","p","Piece designation","Piece designation","0","0","0","","8","","","","0","4","HLD","","","","9999"
"863","q","Piece physical condition","Piece physical condition","0","0","0","","8","","","","0","4","HLD","","","","9999"
"863","s","Copyright article-fee code","Copyright article-fee code","1","0","0","","8","","","","0","4","HLD","","","","9999"
"863","t","Copy number","Copy number","0","0","0","","8","","","","0","4","HLD","","","","9999"
"863","v","Issuing date","Issuing date","1","0","0","","8","","","","0","4","HLD","","","","9999"
"863","w","Break indicator","Break indicator","0","0","0","","8","","","","0","4","HLD","","","","9999"
"863","x","Nonpublic note","Nonpublic note","1","0","0","","8","","","","0","4","HLD","","","","9999"
"863","z","Public note","Public note","1","0","0","holdings.summary","8","","","","0","4","HLD","","","","9999"
"864","6","Linkage","Linkage","0","0","0","","8","","","","","5","HLD","","","","9999"
"864","8","Field link and sequence number","Field link and sequence number","0","0","0","","8","","","","","5","HLD","","","","9999"
"864","a","First level of enumeration","First level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","b","Second level of enumeration","Second level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","c","Third level of enumeration","Third level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","d","Fourth level of enumeration","Fourth level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","e","Fifth level of enumeration","Fifth level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","f","Sixth level of enumeration","Sixth level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","g","Alternative numbering scheme, first level of enumeration","Alternative numbering scheme, first level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","h","Alternative numbering scheme, second level of enumeration","Alternative numbering scheme, second level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","i","First level of chronology","First level of chronology","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","j","Second level of chronology","Second level of chronology","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","k","Third level of chronology","Third level of chronology","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","l","Fourth level of chronology","Fourth level of chronology","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","m","Alternative numbering scheme, chronology","Alternative numbering scheme, chronology","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","n","Converted Gregorian year","Converted Gregorian year","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","o","Type of unit","Type of unit","1","0","0","","8","","","","0","4","HLD","","","","9999"
"864","p","Piece designation","Piece designation","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","q","Piece physical condition","Piece physical condition","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","s","Copyright article-fee code","Copyright article-fee code","1","0","0","","8","","","","0","4","HLD","","","","9999"
"864","t","Copy number","Copy number","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","v","Issuing date","Issuing date","1","0","0","","8","","","","0","4","HLD","","","","9999"
"864","w","Break indicator","Break indicator","0","0","0","","8","","","","0","4","HLD","","","","9999"
"864","x","Nonpublic note","Nonpublic note","1","0","0","","8","","","","0","4","HLD","","","","9999"
"864","z","Public note","Public note","1","0","0","","8","","","","0","4","HLD","","","","9999"
"865","6","Linkage","Linkage","0","0","0","","8","","","","","5","HLD","","","","9999"
"865","8","Field link and sequence number","Field link and sequence number","0","0","0","","8","","","","","5","HLD","","","","9999"
"865","a","First level of enumeration","First level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","b","Second level of enumeration","Second level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","c","Third level of enumeration","Third level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","d","Fourth level of enumeration","Fourth level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","e","Fifth level of enumeration","Fifth level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","f","Sixth level of enumeration","Sixth level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","g","Alternative numbering scheme, first level of enumeration","Alternative numbering scheme, first level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","h","Alternative numbering scheme, second level of enumeration","Alternative numbering scheme, second level of enumeration","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","i","First level of chronology","First level of chronology","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","j","Second level of chronology","Second level of chronology","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","k","Third level of chronology","Third level of chronology","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","l","Fourth level of chronology","Fourth level of chronology","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","m","Alternative numbering scheme, chronology","Alternative numbering scheme, chronology","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","n","Converted Gregorian year","Converted Gregorian year","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","o","Type of unit","Type of unit","1","0","0","","8","","","","0","4","HLD","","","","9999"
"865","p","Piece designation","Piece designation","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","q","Piece physical condition","Piece physical condition","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","s","Copyright article-fee code","Copyright article-fee code","1","0","0","","8","","","","0","4","HLD","","","","9999"
"865","t","Copy number","Copy number","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","v","Issuing date","Issuing date","1","0","0","","8","","","","0","4","HLD","","","","9999"
"865","w","Break indicator","Break indicator","0","0","0","","8","","","","0","4","HLD","","","","9999"
"865","x","Nonpublic note","Nonpublic note","1","0","0","","8","","","","0","4","HLD","","","","9999"
"865","z","Public note","Public note","1","0","0","","8","","","","0","4","HLD","","","","9999"
"866","6","Linkage","Linkage","0","0","0","","8","","","","","5","HLD","","","","9999"
"866","8","Field link and sequence number","Field link and sequence number","1","0","0","","8","","","","","5","HLD","","","","9999"
"866","a","Textual string","Textual string","0","0","0","","8","","","","0","4","HLD","","","","9999"
"866","x","Nonpublic note","Nonpublic note","1","0","0","","8","","","","0","4","HLD","","","","9999"
"866","z","Public note","Public note","1","0","0","","8","","","","0","4","HLD","","","","9999"
"867","6","Linkage","Linkage","0","0","0","","8","","","","","5","HLD","","","","9999"
"867","8","Field link and sequence number","Field link and sequence number","1","0","0","","8","","","","","5","HLD","","","","9999"
"867","a","Textual string","Textual string","0","0","0","holdings.supplements","8","","","","0","4","HLD","","","","9999"
"867","x","Nonpublic note","Nonpublic note","1","0","0","","8","","","","0","4","HLD","","","","9999"
"867","z","Public note","Public note","1","0","0","holdings.supplements","8","","","","0","4","HLD","","","","9999"
"868","6","Linkage","Linkage","0","0","0","","8","","","","","5","HLD","","","","9999"
"868","8","Field link and sequence number","Field link and sequence number","1","0","0","","8","","","","","5","HLD","","","","9999"
"868","a","Textual string","Textual string","0","0","0","holdings.indexes","8","","","","0","4","HLD","","","","9999"
"868","x","Nonpublic note","Nonpublic note","1","0","0","","8","","","","0","4","HLD","","","","9999"
"868","z","Public note","Public note","1","0","0","holdings.indexes","8","","","","0","4","HLD","","","","9999"
"876","3","Materials specified","Materials specified","0","0","0","","8","","","","","5","HLD","","","","9999"
"876","6","Linkage","Linkage","0","0","0","","8","","","","","5","HLD","","","","9999"
"876","8","Sequence number","Sequence number","1","0","0","","8","","","","","5","HLD","","","","9999"
"876","a","Internal item number","Internal item number","0","0","0","","8","","","","","5","HLD","","","","9999"
"876","b","Invalid or canceled internal item number","Invalid or canceled internal item number","1","0","0","","8","","","","","5","HLD","","","","9999"
"876","c","Cost","Cost","1","0","0","","8","","","","","5","HLD","","","","9999"
"876","d","Date acquired","Date acquired","1","0","0","","8","","","","","5","HLD","","","","9999"
"876","e","Source of acquisition","Source of acquisition","1","0","0","","8","","","","","5","HLD","","","","9999"
"876","h","Use restrictions","Use restrictions","1","0","0","","8","","","","","5","HLD","","","","9999"
"876","j","Item status","Item status","1","0","0","","8","","","","","5","HLD","","","","9999"
"876","l","Temporary location","Temporary location","1","0","0","","8","","","","","5","HLD","","","","9999"
"876","p","Piece designation","Piece designation","1","0","0","","8","","","","","5","HLD","","","","9999"
"876","r","Invalid or canceled piece designation","Invalid or canceled piece designation","1","0","0","","8","","","","","5","HLD","","","","9999"
"876","t","Copy number","Copy number","0","0","0","","8","","","","","5","HLD","","","","9999"
"876","x","Nonpublic note","Nonpublic note","1","0","0","","8","","","","","5","HLD","","","","9999"
"876","z","Public note","Public note","1","0","0","","8","","","","","5","HLD","","","","9999"
"877","3","Materials specified","Materials specified","0","0","0","","8","","","","","5","HLD","","","","9999"
"877","6","Linkage","Linkage","0","0","0","","8","","","","","5","HLD","","","","9999"
"877","8","Sequence number","Sequence number","1","0","0","","8","","","","","5","HLD","","","","9999"
"877","a","Internal item number","Internal item number","0","0","0","","8","","","","","5","HLD","","","","9999"
"877","b","Invalid or canceled internal item number","Invalid or canceled internal item number","1","0","0","","8","","","","","5","HLD","","","","9999"
"877","c","Cost","Cost","1","0","0","","8","","","","","5","HLD","","","","9999"
"877","d","Date acquired","Date acquired","1","0","0","","8","","","","","5","HLD","","","","9999"
"877","e","Source of acquisition","Source of acquisition","1","0","0","","8","","","","","5","HLD","","","","9999"
"877","h","Use restrictions","Use restrictions","1","0","0","","8","","","","","5","HLD","","","","9999"
"877","j","Item status","Item status","1","0","0","","8","","","","","5","HLD","","","","9999"
"877","l","Temporary location","Temporary location","1","0","0","","8","","","","","5","HLD","","","","9999"
"877","p","Piece designation","Piece designation","1","0","0","","8","","","","","5","HLD","","","","9999"
"877","r","Invalid or canceled piece designation","Invalid or canceled piece designation","1","0","0","","8","","","","","5","HLD","","","","9999"
"877","t","Copy number","Copy number","0","0","0","","8","","","","","5","HLD","","","","9999"
"877","x","Nonpublic note","Nonpublic note","1","0","0","","8","","","","","5","HLD","","","","9999"
"877","z","Public note","Public note","1","0","0","","8","","","","","5","HLD","","","","9999"
"878","3","Materials specified","Materials specified","0","0","0","","8","","","","","5","HLD","","","","9999"
"878","6","Linkage","Linkage","0","0","0","","8","","","","","5","HLD","","","","9999"
"878","8","Sequence number","Sequence number","1","0","0","","8","","","","","5","HLD","","","","9999"
"878","a","Internal item number","Internal item number","0","0","0","","8","","","","","5","HLD","","","","9999"
"878","b","Invalid or canceled internal item number","Invalid or canceled internal item number","1","0","0","","8","","","","","5","HLD","","","","9999"
"878","c","Cost","Cost","1","0","0","","8","","","","","5","HLD","","","","9999"
"878","d","Date acquired","Date acquired","1","0","0","","8","","","","","5","HLD","","","","9999"
"878","e","Source of acquisition","Source of acquisition","1","0","0","","8","","","","","5","HLD","","","","9999"
"878","h","Use restrictions","Use restrictions","1","0","0","","8","","","","","5","HLD","","","","9999"
"878","j","Item status","Item status","1","0","0","","8","","","","","5","HLD","","","","9999"
"878","l","Temporary location","Temporary location","1","0","0","","8","","","","","5","HLD","","","","9999"
"878","p","Piece designation","Piece designation","1","0","0","","8","","","","","5","HLD","","","","9999"
"878","r","Invalid or canceled piece designation","Invalid or canceled piece designation","1","0","0","","8","","","","","5","HLD","","","","9999"
"878","t","Copy number","Copy number","0","0","0","","8","","","","","5","HLD","","","","9999"
"878","x","Nonpublic note","Nonpublic note","1","0","0","","8","","","","","5","HLD","","","","9999"
"878","z","Public note","Public note","1","0","0","","8","","","","","5","HLD","","","","9999"
"880","2","2","2","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","3","3","3","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","4","4","4","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","5","5","5","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","6","Linkage","Linkage","0","0","0","","8","","","","","-6","HLD","","","","9999"
"880","7","7","7","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","8","8","8","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","9","9","9","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","a","a","a","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","b","b","b","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","c","c","c","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","d","d","d","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","e","e","e","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","f","f","f","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","g","g","g","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","h","h","h","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","i","i","i","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","j","j","j","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","k","k","k","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","l","l","l","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","m","m","m","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","n","n","n","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","o","o","o","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","p","p","p","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","q","q","q","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","r","r","r","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","s","s","s","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","t","t","t","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","u","u","u","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","v","v","v","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","w","w","w","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","x","x","x","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","y","y","y","1","0","0","","8","","","","","-6","HLD","","","","9999"
"880","z","z","z","1","0","0","","8","","","","","-6","HLD","","","","9999"
"883","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","8","","","","","-6","HLD","","","","9999"
"883","1","Real World Object URI","Real World Object URI","1","0","0","","8","","","","","-6","HLD","","","","9999"
"883","8","Field link and sequence number","Field link and sequence number","1","0","0","","8","","","","","-6","HLD","","","","9999"
"883","a","Generation process","Generation process","0","0","0","","8","","","","","-6","HLD","","","","9999"
