"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"066","b","Primary G1 character set","Primary G1 character set","0","0","0","","0","","","","","-6","HLD","","","","9999"
"066","c","Alternate G0 or G1 character set","Alternate G0 or G1 character set","1","0","0","","0","","","","","-6","HLD","","","","9999"
"337","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","HLD","","","","9999"
"337","1","Real World Object URI","Real World Object URI","1","0","0","","3","","","","","-6","HLD","","","","9999"
"337","2","Source","Source","0","0","0","","3","","","","","-6","HLD","","","","9999"
"337","3","Materials specified","Materials specified","0","0","0","","3","","","","","-6","HLD","","","","9999"
"337","6","Linkage","Linkage","0","0","0","","3","","","","","-6","HLD","","","","9999"
"337","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","HLD","","","","9999"
"337","a","Media type term","Media type term","1","0","0","","3","","","","","-6","HLD","","","","9999"
"337","b","Media type code","Media type code","1","0","0","","3","","","","","-6","HLD","","","","9999"
"338","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","HLD","","","","9999"
"338","1","Real World Object URI","Real World Object URI","1","0","0","","3","","","","","-6","HLD","","","","9999"
"338","2","Source","Source","0","0","0","","3","","","","","-6","HLD","","","","9999"
"338","3","Materials specified","Materials specified","0","0","0","","3","","","","","-6","HLD","","","","9999"
"338","6","Linkage","Linkage","0","0","0","","3","","","","","-6","HLD","","","","9999"
"338","8","Field link and sequence number","Field link and sequence number","1","0","0","","3","","","","","-6","HLD","","","","9999"
"338","a","Carrier type term","Carrier type term","1","0","0","","3","","","","","-6","HLD","","","","9999"
"338","b","Carrier type code","Carrier type code","1","0","0","","3","","","","","-6","HLD","","","","9999"
"347","0","Authority record control number or standard number","Authority record control number or standard number","1","0","0","","3","","","","","-6","HLD","","","","9999"
"347","1","Real World Object URI","Real World Object URI","1","0","0","","3","","","","","-6","HLD","","","","9999"
"347","2","Source","Source","0","0","0","","3","","","","","-6","HLD","","","","9999"
"347","3","Materials specified","Materials specified","0","0","0","","3","","","","","-6","HLD","","","","9999"
"347","6","Linkage","Linkage","0","0","0","","3","","","","","-6","HLD","","","","9999"
